1000	998422	8507	8514
2000	2.21E+06	18997	19005
3000	3.51E+06	29881	29891
4000	4.87E+06	41975	41984
5000	6.25E+06	52975	52984
6000	7.68E+06	65739	65750
7000	9.12E+06	79597	79609
8000	1.06E+07	91929	91939
9000	1.21E+07	103929	103939
10000	1.36E+07	115929	115939
25000	3.76E+07	326305	326319
50000	8.05E+07	702579	702594
100000	1.72E+08	1.51E+06	1.51E+06
