1000	2.51E+07	999	500499
2000	9.99E+07	1999	2.00E+06
3000	2.25E+08	2999	4.50E+06
4000	4.00E+08	3999	8.00E+06
5000	6.24E+08	4999	1.25E+07
6000	8.99E+08	5999	1.80E+07
7000	1.22E+09	6999	2.45E+07
8000	1.60E+09	7999	3.20E+07
9000	2.02E+09	8999	4.05E+07
10000	2.50E+09	9999	5.00E+07
25000	1.56E+10	24999	3.13E+08
50000	6.24E+10	49999	1.25E+09
100000	2.50E+11	99999	5.00E+09
