1000	110981	3	1905
2000	400275	7	7732
3000	868370	11	17759
4000	1.67E+06	15	34363
5000	2.46E+06	17	49337
6000	3.22E+06	36	109722
7000	4.39E+06	24	128816
8000	5.82E+06	41	138871
9000	6.43E+06	21	107934
10000	6.05E+06	23	120620
25000	3.71E+07	58	738349
50000	1.52E+08	163	3.00E+06
100000	6.10E+08	337	1.21E+07
